date,vx_doses
6/23/2022,77
6/24/2022,77
6/25/2022,77
6/26/2022,77
6/27/2022,77
6/28/2022,77
6/29/2022,77
6/30/2022,77
7/1/2022,77
7/2/2022,77
7/3/2022,77
7/4/2022,77
7/5/2022,77
7/6/2022,240
7/7/2022,240
7/8/2022,240
7/9/2022,240
7/10/2022,240
7/11/2022,240
7/12/2022,240
7/13/2022,240
7/14/2022,240
7/15/2022,240
7/16/2022,1360
7/17/2022,1360
7/18/2022,1360
7/19/2022,1360
7/20/2022,1360
7/21/2022,1360
7/22/2022,1360
7/23/2022,1360
7/24/2022,810
7/25/2022,810
7/26/2022,810
7/27/2022,810
7/28/2022,810
7/29/2022,810
7/30/2022,810
7/31/2022,810
8/1/2022,810
8/2/2022,810
8/3/2022,810
8/4/2022,810
8/5/2022,810
8/6/2022,810
8/7/2022,810
8/8/2022,810
8/9/2022,810
8/10/2022,810
8/11/2022,810
8/12/2022,810
8/13/2022,810
8/14/2022,810
8/15/2022,810
8/16/2022,810
8/17/2022,810
8/18/2022,810
8/19/2022,810
8/20/2022,810
8/21/2022,810
8/22/2022,810
8/23/2022,810
8/24/2022,810
8/25/2022,810
8/26/2022,810
8/27/2022,810
8/28/2022,810
8/29/2022,810
8/30/2022,810
8/31/2022,810
